Kanji,Reading,Romaji,Meaning,Example
学校,がっこう,gakkou,school,"毎日学校に行きます。
Mainichi gakkou ni ikimasu."
先生,せんせい,sensei,teacher,"田中さんは先生です。
Tanaka-san wa sensei desu."
学生,がくせい,gakusei,student,"私は学生です。
Watashi wa gakusei desu."
会社,かいしゃ,kaisha,company,"父は会社で働いています。
Chichi wa kaisha de hataraite imasu."
病院,びょういん,byouin,hospital,"病院で薬をもらいました。
Byouin de kusuri o moraimashita."
駅,えき,eki,station,"駅で電車を待ちます。
Eki de densha o machimasu."
図書館,としょかん,toshokan,library,"図書館で本を読みます。
Toshokan de hon o yomimasu."
公園,こうえん,kouen,park,"公園で子供たちが遊んでいます。
Kouen de kodomotachi ga asonde imasu."
家族,かぞく,kazoku,family,"家族と旅行に行きます。
Kazoku to ryokou ni ikimasu."
友達,ともだち,tomodachi,friend,"友達と映画を見ます。
Tomodachi to eiga o mimasu."
仕事,しごと,shigoto,job / work,"仕事はとても忙しいです。
Shigoto wa totemo isogashii desu."
時間,じかん,jikan,time,"時間がありません。
Jikan ga arimasen."
天気,てんき,tenki,weather,"今日はいい天気です。
Kyou wa ii tenki desu."
電話,でんわ,denwa,telephone,"電話で話します。
Denwa de hanashimasu."
新聞,しんぶん,shinbun,newspaper,"朝、新聞を読みます。
Asa, shinbun o yomimasu."
音楽,おんがく,ongaku,music,"音楽を聞くのが好きです。
Ongaku o kiku no ga suki desu."
映画,えいが,eiga,movie,"週末に映画を見ます。
Shuumatsu ni eiga o mimasu."
料理,りょうり,ryouri,cooking / cuisine,"母の料理はおいしいです。
Haha no ryouri wa oishii desu."
旅行,りょこう,ryokou,travel,"来年、日本へ旅行します。
Rainen, Nihon e ryokou shimasu."
誕生日,たんじょうび,tanjoubi,birthday,"今日は私の誕生日です。
Kyou wa watashi no tanjoubi desu."
