Kanji,Reading,Romaji,Meaning,Example
食べる,たべる,taberu,to eat,"朝ごはんを食べます。
Asagohan o tabemasu."
飲む,のむ,nomu,to drink,"水を飲みます。
Mizu o nomimasu."
見る,みる,miru,to see / to watch,"映画を見ます。
Eiga o mimasu."
聞く,きく,kiku,to listen / to hear,"音楽を聞きます。
Ongaku o kikimasu."
話す,はなす,hanasu,to speak,"日本語を話します。
Nihongo o hanashimasu."
読む,よむ,yomu,to read,"本を読みます。
Hon o yomimasu."
書く,かく,kaku,to write,"手紙を書きます。
Tegami o kakimasu."
買う,かう,kau,to buy,"新しい靴を買います。
Atarashii kutsu o kaimasu."
行く,いく,iku,to go,"学校に行きます。
Gakkou ni ikimasu."
来る,くる,kuru,to come,"友達が来ます。
Tomodachi ga kimasu."
帰る,かえる,kaeru,to go home / to return,"七時に家に帰ります。
Shichiji ni ie ni kaerimasu."
寝る,ねる,neru,to sleep,"十一時に寝ます。
Juuichiji ni nemasu."
起きる,おきる,okiru,to wake up,"六時に起きます。
Rokuji ni okimasu."
走る,はしる,hashiru,to run,"公園で走ります。
Kouen de hashirimasu."
歩く,あるく,aruku,to walk,"駅まで歩きます。
Eki made arukimasu."
待つ,まつ,matsu,to wait,"バスを待ちます。
Basu o machimasu."
会う,あう,au,to meet,"友達に会います。
Tomodachi ni aimasu."
作る,つくる,tsukuru,to make,"晩ごはんを作ります。
Bangohan o tsukurimasu."
使う,つかう,tsukau,to use,"パソコンを使います。
Pasokon o tsukaimasu."
勉強する,べんきょうする,benkyousuru,to study,"毎日日本語を勉強します。
Mainichi nihongo o benkyoushimasu."
